rho,root,equilibrium
0.3,r1,0.3201616672584541
0.301,r1,0.32142272863320287
0.302,r1,0.32268634227845266
0.303,r1,0.3239525289263995
0.304,r1,0.32522130951333494
0.305,r1,0.3264927051826269
0.306,r1,0.32776673728775396
0.307,r1,0.32904342739539527
0.308,r1,0.33032279728857644
0.309,r1,0.33160486896987285
0.31,r1,0.3328896646646715
0.311,r1,0.3341772068244941
0.312,r1,0.3354675181303801
0.313,r1,0.33676062149633396
0.314,r1,0.3380565400728359
0.315,r1,0.3393552972504188
0.316,r1,0.34065691666331194
0.317,r1,0.3419614221931549
0.318,r1,0.3432688379727801
0.319,r1,0.3445791883900689
0.32,r1,0.34589249809188033
0.321,r1,0.3472087919880569
0.322,r1,0.34852809525550565
0.323,r1,0.3498504333423603
0.324,r1,0.3511758319722229
0.325,r1,0.3525043171484895
0.326,r1,0.35383591515875956
0.327,r1,0.355170652579334
0.328,r1,0.35650855627980027
0.329,r1,0.35784965342771063
0.32999999999999996,r1,0.35919397149335225
0.33099999999999996,r1,0.3605415382546142
0.33199999999999996,r1,0.36189238180195193
0.33299999999999996,r1,0.3632465305434519
0.33399999999999996,r1,0.36460401321000074
0.33499999999999996,r1,0.3659648588605574
0.33599999999999997,r1,0.36732909688753673
0.33699999999999997,r1,0.3686967570223005
0.33799999999999997,r1,0.3700678693407652
0.33899999999999997,r1,0.3714424642691245
0.33999999999999997,r1,0.37282057258969153
0.34099999999999997,r1,0.3742022254468649
0.34199999999999997,r1,0.3755874543532189
0.34299999999999997,r1,0.37697629119572373
0.344,r1,0.3783687682420979
0.345,r1,0.379764918147296
0.346,r1,0.3811647739601365
0.347,r1,0.3825683691300714
0.348,r1,0.3839757375141045
0.349,r1,0.38538691338385805
0.35,r1,0.38680193143279584
0.351,r1,0.3882208267836045
0.352,r1,0.3896436349957374
0.353,r1,0.3910703920731269
0.354,r1,0.3925011344720678
0.355,r1,0.39393589910927834
0.356,r1,0.39537472337014173
0.357,r1,0.3968176451171353
0.358,r1,0.3982647026984502
0.359,r1,0.3997159349568098
0.36,r1,0.4011713812384886
0.361,r1,0.40263108140254095
0.362,r1,0.4040950758302431
0.363,r1,0.4055634054347561
0.364,r1,0.4070361116710142
0.365,r1,0.4085132365458468
0.366,r1,0.40999482262834036
0.367,r1,0.41148091306044593
0.368,r1,0.41297155156784143
